season_number,episode_number,contestant_id,contestant_name,episode_placement
5,7,52,Alyssa Edwards,BTM2
5,7,58,Ivy Winters,LOW
5,8,53,Jinkx Monsoon,HIGH
5,8,56,Alaska,WIN
5,8,49,Roxxxy Andrews,LOW
5,8,48,Detox,HIGH
5,8,61,Coco Montrese,SAFE
5,8,52,Alyssa Edwards,BTM2
5,8,58,Ivy Winters,ELIM
5,9,53,Jinkx Monsoon,WIN
5,9,56,Alaska,HIGH
5,9,49,Roxxxy Andrews,HIGH
5,9,48,Detox,LOW
5,9,61,Coco Montrese,BTM2
5,9,52,Alyssa Edwards,ELIM
5,10,53,Jinkx Monsoon,HIGH
5,10,56,Alaska,LOW
5,10,49,Roxxxy Andrews,WIN
5,10,48,Detox,BTM2
5,10,61,Coco Montrese,ELIM
5,11,53,Jinkx Monsoon,BTM2
5,11,56,Alaska,WIN
5,11,49,Roxxxy Andrews,HIGH
5,11,48,Detox,ELIM
5,12,53,Jinkx Monsoon,SAFE
5,12,56,Alaska,SAFE
5,12,49,Roxxxy Andrews,SAFE
5,14,53,Jinkx Monsoon,Winner
5,14,56,Alaska,Runner-up
5,14,49,Roxxxy Andrews,Runner-up
5,14,48,Detox,Guest
5,14,61,Coco Montrese,Guest
5,14,52,Alyssa Edwards,Guest
5,14,58,Ivy Winters,Miss C
5,14,50,Jade Jolie,Guest
5,14,60,Lineysha Sparx,Guest
5,14,57,Honey Mahogany,Guest
5,14,55,Vivienne Pinay,Guest
5,14,59,Monica Beverly Hillz,Guest
5,14,51,Serena ChaCha,Guest
5,14,54,Penny Tration,Guest
6,1,62,Adore Delano,LOW
6,1,63,BenDeLaCreme,WIN
6,1,65,Laganja Estranja,SAFE
6,1,64,Gia Gunn,SAFE
6,1,66,April Carrión,HIGH
6,1,68,Vivacious,BTM2
6,1,67,Kelly Mantle,ELIM
6,2,69,Bianca Del Rio,WIN
6,2,74,Courtney Act,SAFE
6,2,75,Darienne Lake,BTM2
6,2,71,Joslyn Fox,LOW
6,2,70,Trinity K. Bonet,HIGH
6,2,72,Milk,HIGH
6,2,73,Magnolia Crawford,ELIM
6,3,69,Bianca Del Rio,HIGH
6,3,62,Adore Delano,LOW
6,3,74,Courtney Act,HIGH
6,3,75,Darienne Lake,WIN
6,3,63,BenDeLaCreme,SAFE
6,3,71,Joslyn Fox,HIGH
6,3,70,Trinity K. Bonet,HIGH
6,3,65,Laganja Estranja,SAFE
6,3,72,Milk,HIGH
6,3,64,Gia Gunn,SAFE
6,3,66,April Carrión,BTM2
6,3,68,Vivacious,ELIM
6,4,69,Bianca Del Rio,SAFE
6,4,62,Adore Delano,HIGH
6,4,74,Courtney Act,WIN
6,4,75,Darienne Lake,LOW
6,4,63,BenDeLaCreme,HIGH
6,4,71,Joslyn Fox,SAFE
6,4,70,Trinity K. Bonet,BTM2
6,4,65,Laganja Estranja,SAFE
6,4,72,Milk,SAFE
6,4,64,Gia Gunn,SAFE
6,4,66,April Carrión,ELIM
6,5,69,Bianca Del Rio,HIGH
6,5,62,Adore Delano,HIGH
6,5,74,Courtney Act,SAFE
6,5,75,Darienne Lake,SAFE
6,5,63,BenDeLaCreme,WIN
6,5,71,Joslyn Fox,SAFE
6,5,70,Trinity K. Bonet,SAFE
6,5,65,Laganja Estranja,BTM2
6,5,72,Milk,LOW
6,5,64,Gia Gunn,ELIM
6,6,69,Bianca Del Rio,HIGH
6,6,62,Adore Delano,WIN
6,6,74,Courtney Act,SAFE
6,6,75,Darienne Lake,LOW
6,6,63,BenDeLaCreme,SAFE
6,6,71,Joslyn Fox,HIGH
6,6,70,Trinity K. Bonet,BTM2
6,6,65,Laganja Estranja,SAFE
6,6,72,Milk,ELIM
6,7,69,Bianca Del Rio,HIGH
6,7,62,Adore Delano,WIN
6,7,74,Courtney Act,LOW
6,7,75,Darienne Lake,BTM2
6,7,63,BenDeLaCreme,BTM2
6,7,71,Joslyn Fox,LOW
6,7,70,Trinity K. Bonet,HIGH
6,7,65,Laganja Estranja,WIN
6,8,69,Bianca Del Rio,WIN
6,8,62,Adore Delano,SAFE
6,8,74,Courtney Act,SAFE
6,8,75,Darienne Lake,HIGH
6,8,63,BenDeLaCreme,LOW
6,8,71,Joslyn Fox,BTM2
6,8,70,Trinity K. Bonet,HIGH
6,8,65,Laganja Estranja,ELIM
6,9,69,Bianca Del Rio,SAFE
6,9,62,Adore Delano,BTM2
6,9,74,Courtney Act,WIN
6,9,75,Darienne Lake,SAFE
6,9,63,BenDeLaCreme,HIGH
6,9,71,Joslyn Fox,LOW
6,9,70,Trinity K. Bonet,ELIM
6,10,69,Bianca Del Rio,WIN
6,10,62,Adore Delano,BTM2
6,10,74,Courtney Act,LOW
6,10,75,Darienne Lake,LOW
6,10,63,BenDeLaCreme,HIGH
6,10,71,Joslyn Fox,ELIM
6,11,69,Bianca Del Rio,SAFE
6,11,62,Adore Delano,WIN
6,11,74,Courtney Act,LOW
6,11,75,Darienne Lake,BTM2
6,11,63,BenDeLaCreme,ELIM
6,12,69,Bianca Del Rio,SAFE
6,12,62,Adore Delano,SAFE
6,12,74,Courtney Act,SAFE
6,12,75,Darienne Lake,ELIM
6,14,69,Bianca Del Rio,Winner
6,14,62,Adore Delano,Runner-up
6,14,74,Courtney Act,Runner-up
6,14,75,Darienne Lake,Guest
6,14,63,BenDeLaCreme,Miss C
6,14,71,Joslyn Fox,Guest
6,14,70,Trinity K. Bonet,Guest
6,14,65,Laganja Estranja,Guest
6,14,72,Milk,Guest
6,14,64,Gia Gunn,Guest
6,14,66,April Carrión,Guest
6,14,68,Vivacious,Guest
6,14,73,Magnolia Crawford,Guest
6,14,67,Kelly Mantle,Guest
7,1,79,Violet Chachki,WIN
7,1,77,Ginger Minj,SAFE
7,1,86,Pearl,SAFE
7,1,87,Kennedy Davenport,HIGH
7,1,81,Katya,SAFE
7,1,84,Trixie Mattel,SAFE
7,1,76,Miss Fame,HIGH
