season_number,episode_number,episode_airdate,episode_title,episode_type,episode_maxi_challenge_type
9,5,2017-04-21,Reality Stars: The Musical,Competition,Lipsync
9,6,2017-04-28,Snatch Game,Competition,Snatch Game
9,7,2017-05-05,9021-HO,Competition,Acting
9,8,2017-05-12,RuPaul Roast,Competition,Comedy
9,9,2017-05-19,Your Pilot's On Fire,Competition,Acting
9,10,2017-05-26,Makeovers: Crew Better Work,Competition,Makeover
9,11,2017-06-02,Gayest Ball Ever,Competition,Ball
9,12,2017-06-09,Category Is,Competition,Music Video
9,13,2017-06-16,Reunited,Reunion,NA
9,14,2017-06-23,Grand Finale,Finale,NA
10,1,2018-03-22,10s Across The Board,Competition,Sewing
10,2,2018-03-29,PharmaRusical,Competition,Lipsync
10,3,2018-04-05,Tap That App,Competition,Commercial
10,4,2018-04-12,The Last Ball on Earth,Competition,Ball
10,5,2018-04-19,The Bossy Rossy Show,Competition,Comedy
10,6,2018-04-26,Drag Con Panel Extravaganza,Competition,Personal Branding
10,7,2018-05-03,Snatch Game,Competition,Snatch Game
10,8,2018-05-10,The Unauthorized Rusical,Competition,Lipsync
10,9,2018-05-17,Breastworld,Competition,Acting
10,10,2018-05-24,Social Media Kings Into Queens,Competition,Makeover
10,11,2018-06-07,Evil Twins,Competition,Personal Branding
10,12,2018-06-14,American,Competition,Music Video
10,13,2018-06-21,Queens Reunited,Reunion,NA
10,14,2018-06-28,Grand Finale,Finale,NA
11,1,2019-02-28,Whatcha Unpackin?,Competition,Sewing
11,2,2019-03-07,"Good God Girl, Get Out",Competition,Acting
11,3,2019-03-14,Diva Worship,Competition,Acting
11,4,2019-03-21,Trump: The Rusical,Competition,Musical
11,5,2019-03-28,Monster Ball,Competition,Ball
11,6,2019-04-04,The Dragylmpics,Competition,Dancing
11,7,2019-04-11,From Farm to Runway,Competition,Sewing
11,8,2019-04-18,Snatch Game At Sea,Competition,Snatch Game
11,9,2019-04-25,L.A.D.P.!,Competition,Acting
11,10,2019-05-02,Dragracadabra,Competition,Acting
11,11,2019-05-09,Bring Back My Queens!,Competition,Makeover
11,12,2019-05-16,Queens Everywhere,Competition,Music Video
11,13,2019-05-23,Reunited,Reunion,NA
11,14,2019-05-30,Grand Finale,Finale,NA
