contestant_id,contestant_name,season_number,episode_number,season_outcome,episode_placement,episode_title,episode_airdate,episode_type,episode_maxi_challenge_type,contestant_entrance,age,hometown_city,hometown_state,handle_instagram,handle_twitter
22,Delta Work,3,6,7,BTM2,The Snatch Game,2011-02-21,Competition,Snatch Game,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,6,5,SAFE,The Snatch Game,2011-02-21,Competition,Snatch Game,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,6,2,SAFE,The Snatch Game,2011-02-21,Competition,Snatch Game,4,28,New York,New York,manilaluzon,manilaluzon
26,Stacy Layne Matthews,3,6,8,WIN,The Snatch Game,2011-02-21,Competition,Snatch Game,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
28,Yara Sofia,3,6,4,LOW,The Snatch Game,2011-02-21,Competition,Snatch Game,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
29,Mariah,3,6,9,ELIM,The Snatch Game,2011-02-21,Competition,Snatch Game,8,29,Atlanta,Georgia,mug4dayz,mug4dayz
30,Alexis Mateo,3,6,3,HIGH,The Snatch Game,2011-02-21,Competition,Snatch Game,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,6,1,HIGH,The Snatch Game,2011-02-21,Competition,Snatch Game,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,6,6,SAFE,The Snatch Game,2011-02-21,Competition,Snatch Game,13,29,Los Angeles,California,itsshangela,itsSHANGELA
22,Delta Work,3,7,7,HIGH,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,7,5,LOW,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,7,2,HIGH,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,4,28,New York,New York,manilaluzon,manilaluzon
26,Stacy Layne Matthews,3,7,8,ELIM,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
28,Yara Sofia,3,7,4,HIGH,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,7,3,BTM2,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,7,1,WIN,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,7,6,LOW,"Face, Face, Face of Cakes",2011-02-28,Competition,Sewing,13,29,Los Angeles,California,itsshangela,itsSHANGELA
22,Delta Work,3,8,7,ELIM,Ru Ha Ha,2011-03-07,Competition,Comedy,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,8,5,HIGH,Ru Ha Ha,2011-03-07,Competition,Comedy,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,8,2,BTM2,Ru Ha Ha,2011-03-07,Competition,Comedy,4,28,New York,New York,manilaluzon,manilaluzon
28,Yara Sofia,3,8,4,HIGH,Ru Ha Ha,2011-03-07,Competition,Comedy,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,8,3,SAFE,Ru Ha Ha,2011-03-07,Competition,Comedy,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,8,1,HIGH,Ru Ha Ha,2011-03-07,Competition,Comedy,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,8,6,WIN,Ru Ha Ha,2011-03-07,Competition,Comedy,13,29,Los Angeles,California,itsshangela,itsSHANGELA
23,Carmen Carrera,3,9,5,BTM2,"Life, Liberty & the Pursuit of Style",2011-03-14,Competition,Personal Branding,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,9,2,LOW,"Life, Liberty & the Pursuit of Style",2011-03-14,Competition,Personal Branding,4,28,New York,New York,manilaluzon,manilaluzon
28,Yara Sofia,3,9,4,BTM2,"Life, Liberty & the Pursuit of Style",2011-03-14,Competition,Personal Branding,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,9,3,WIN,"Life, Liberty & the Pursuit of Style",2011-03-14,Competition,Personal Branding,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,9,1,LOW,"Life, Liberty & the Pursuit of Style",2011-03-14,Competition,Personal Branding,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,9,6,SAFE,"Life, Liberty & the Pursuit of Style",2011-03-14,Competition,Personal Branding,13,29,Los Angeles,California,itsshangela,itsSHANGELA
23,Carmen Carrera,3,10,5,ELIM,RuPaul-a-Palooza,2011-03-21,Competition,Singing,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,10,2,HIGH,RuPaul-a-Palooza,2011-03-21,Competition,Singing,4,28,New York,New York,manilaluzon,manilaluzon
28,Yara Sofia,3,10,4,SAFE,RuPaul-a-Palooza,2011-03-21,Competition,Singing,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,10,3,LOW,RuPaul-a-Palooza,2011-03-21,Competition,Singing,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,10,1,WIN,RuPaul-a-Palooza,2011-03-21,Competition,Singing,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,10,6,BTM2,RuPaul-a-Palooza,2011-03-21,Competition,Singing,13,29,Los Angeles,California,itsshangela,itsSHANGELA
25,Manila Luzon,3,11,2,HIGH,RuPaul's Hair Extravaganza,2011-03-28,Competition,Ball,4,28,New York,New York,manilaluzon,manilaluzon
28,Yara Sofia,3,11,4,WIN,RuPaul's Hair Extravaganza,2011-03-28,Competition,Ball,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,11,3,BTM2,RuPaul's Hair Extravaganza,2011-03-28,Competition,Ball,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,11,1,HIGH,RuPaul's Hair Extravaganza,2011-03-28,Competition,Ball,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,11,6,ELIM,RuPaul's Hair Extravaganza,2011-03-28,Competition,Ball,13,29,Los Angeles,California,itsshangela,itsSHANGELA
23,Carmen Carrera,3,12,5,ELIM,Jocks in Frocks,2011-04-04,Competition,Makeover,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
25,Manila Luzon,3,12,2,WIN,Jocks in Frocks,2011-04-04,Competition,Makeover,4,28,New York,New York,manilaluzon,manilaluzon
28,Yara Sofia,3,12,4,SAFE,Jocks in Frocks,2011-04-04,Competition,Makeover,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,12,3,HIGH,Jocks in Frocks,2011-04-04,Competition,Makeover,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,12,1,BTM2,Jocks in Frocks,2011-04-04,Competition,Makeover,12,36,Los Angeles,California,sutanamrull,sutanamrull
25,Manila Luzon,3,13,2,WIN,Make Dat Money,2011-04-11,Competition,Ball,4,28,New York,New York,manilaluzon,manilaluzon
28,Yara Sofia,3,13,4,ELIM,Make Dat Money,2011-04-11,Competition,Ball,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
30,Alexis Mateo,3,13,3,BTM2,Make Dat Money,2011-04-11,Competition,Ball,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,13,1,HIGH,Make Dat Money,2011-04-11,Competition,Ball,12,36,Los Angeles,California,sutanamrull,sutanamrull
25,Manila Luzon,3,15,2,Runner-up,Grand Finale,2011-04-25,Finale,,4,28,New York,New York,manilaluzon,manilaluzon
30,Alexis Mateo,3,15,3,Eliminated,Grand Finale,2011-04-25,Finale,,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
33,Raja,3,15,1,Winner,Grand Finale,2011-04-25,Finale,,12,36,Los Angeles,California,sutanamrull,sutanamrull
22,Delta Work,3,16,7,Guest,Reunited!,2011-05-02,Reunion,,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,16,5,Guest,Reunited!,2011-05-02,Reunion,,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
24,Phoenix,3,16,12,Guest,Reunited!,2011-05-02,Reunion,,3,29,Atlanta,Georgia,phoenix_atl,Phoenix_atl
25,Manila Luzon,3,16,2,Guest,Reunited!,2011-05-02,Reunion,,4,28,New York,New York,manilaluzon,manilaluzon
26,Stacy Layne Matthews,3,16,8,Guest,Reunited!,2011-05-02,Reunion,,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
27,Venus D-Lite,3,16,13,Guest,Reunited!,2011-05-02,Reunion,,6,26,Los Angeles,California,venusdlitemadonna,venusdlite
28,Yara Sofia,3,16,4,Miss C,Reunited!,2011-05-02,Reunion,,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
29,Mariah,3,16,9,Guest,Reunited!,2011-05-02,Reunion,,8,29,Atlanta,Georgia,mug4dayz,mug4dayz
30,Alexis Mateo,3,16,3,Guest,Reunited!,2011-05-02,Reunion,,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
31,India Ferrah,3,16,10,Guest,Reunited!,2011-05-02,Reunion,,10,23,Dayton,Ohio,indiaferrah,Indiaferrah
32,Mimi Imfurst,3,16,11,Guest,Reunited!,2011-05-02,Reunion,,11,27,New York,New York,mimiimfurst,
33,Raja,3,16,1,Guest,Reunited!,2011-05-02,Reunion,,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,16,6,Guest,Reunited!,2011-05-02,Reunion,,13,29,Los Angeles,California,itsshangela,itsSHANGELA
35,Willam,4,1,7,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,1,29,Los Angeles,California,willam,willam
36,Lashauwn Beyond,4,1,12,HIGH,RuPocalypse Now!,2012-01-30,Competition,Sewing,2,21,Fort Lauderdale,Florida,lashauwnbeyond,LashauwnBeyond
37,Jiggly Caliente,4,1,8,BTM2,RuPocalypse Now!,2012-01-30,Competition,Sewing,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,1,2,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
39,Madame LaQueer,4,1,10,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,5,29,Carolina,Puerto Rico,ditisnietmilan,MadameLaQueer
40,Milan,4,1,9,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,6,36,New York,New York,,
41,Alisa Summers,4,1,13,ELIM,RuPocalypse Now!,2012-01-30,Competition,Sewing,7,23,Tampa,Florida,,
42,DiDa Ritz,4,1,6,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,8,25,Chicago,Illinois,didaswag,MissDidaRitz
43,The Princess,4,1,11,HIGH,RuPocalypse Now!,2012-01-30,Competition,Sewing,9,31,Chicago,Illinois,thedragprincess,TheDragPrincess
44,Kenya Michaels,4,1,5,LOW,RuPocalypse Now!,2012-01-30,Competition,Sewing,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,1,2,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,1,1,WIN,RuPocalypse Now!,2012-01-30,Competition,Sewing,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,1,4,SAFE,RuPocalypse Now!,2012-01-30,Competition,Sewing,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,2,7,SAFE,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,1,29,Los Angeles,California,willam,willam
36,Lashauwn Beyond,4,2,12,ELIM,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,2,21,Fort Lauderdale,Florida,lashauwnbeyond,LashauwnBeyond
37,Jiggly Caliente,4,2,8,SAFE,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,2,2,SAFE,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
39,Madame LaQueer,4,2,10,WIN,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,5,29,Carolina,Puerto Rico,ditisnietmilan,MadameLaQueer
40,Milan,4,2,9,HIGH,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,6,36,New York,New York,,
42,DiDa Ritz,4,2,6,LOW,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,8,25,Chicago,Illinois,didaswag,MissDidaRitz
43,The Princess,4,2,11,BTM2,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,9,31,Chicago,Illinois,thedragprincess,TheDragPrincess
44,Kenya Michaels,4,2,5,SAFE,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,2,2,WIN,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,2,1,HIGH,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,2,4,SAFE,WTF!: Wrestling's Trashiest Fighters,2012-02-06,Competition,Acting,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,3,7,SAFE,Glamazons vs Champions,2012-02-13,Competition,Commercial,1,29,Los Angeles,California,willam,willam
37,Jiggly Caliente,4,3,8,SAFE,Glamazons vs Champions,2012-02-13,Competition,Commercial,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,3,2,SAFE,Glamazons vs Champions,2012-02-13,Competition,Commercial,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
39,Madame LaQueer,4,3,10,LOW,Glamazons vs Champions,2012-02-13,Competition,Commercial,5,29,Carolina,Puerto Rico,ditisnietmilan,MadameLaQueer
40,Milan,4,3,9,SAFE,Glamazons vs Champions,2012-02-13,Competition,Commercial,6,36,New York,New York,,
42,DiDa Ritz,4,3,6,BTM2,Glamazons vs Champions,2012-02-13,Competition,Commercial,8,25,Chicago,Illinois,didaswag,MissDidaRitz
43,The Princess,4,3,11,ELIM,Glamazons vs Champions,2012-02-13,Competition,Commercial,9,31,Chicago,Illinois,thedragprincess,TheDragPrincess
44,Kenya Michaels,4,3,5,HIGH,Glamazons vs Champions,2012-02-13,Competition,Commercial,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,3,2,HIGH,Glamazons vs Champions,2012-02-13,Competition,Commercial,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,3,1,WIN,Glamazons vs Champions,2012-02-13,Competition,Commercial,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,3,4,SAFE,Glamazons vs Champions,2012-02-13,Competition,Commercial,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,4,7,HIGH,Queens Behind Bars,2012-02-20,Competition,Acting,1,29,Los Angeles,California,willam,willam
37,Jiggly Caliente,4,4,8,HIGH,Queens Behind Bars,2012-02-20,Competition,Acting,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,4,2,HIGH,Queens Behind Bars,2012-02-20,Competition,Acting,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
39,Madame LaQueer,4,4,10,ELIM,Queens Behind Bars,2012-02-20,Competition,Acting,5,29,Carolina,Puerto Rico,ditisnietmilan,MadameLaQueer
40,Milan,4,4,9,BTM2,Queens Behind Bars,2012-02-20,Competition,Acting,6,36,New York,New York,,
42,DiDa Ritz,4,4,6,SAFE,Queens Behind Bars,2012-02-20,Competition,Acting,8,25,Chicago,Illinois,didaswag,MissDidaRitz
44,Kenya Michaels,4,4,5,LOW,Queens Behind Bars,2012-02-20,Competition,Acting,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,4,2,HIGH,Queens Behind Bars,2012-02-20,Competition,Acting,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,4,1,SAFE,Queens Behind Bars,2012-02-20,Competition,Acting,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,4,4,WIN,Queens Behind Bars,2012-02-20,Competition,Acting,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,5,7,HIGH,Snatch Game,2012-02-27,Competition,Snatch Game,1,29,Los Angeles,California,willam,willam
37,Jiggly Caliente,4,5,8,SAFE,Snatch Game,2012-02-27,Competition,Snatch Game,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,5,2,LOW,Snatch Game,2012-02-27,Competition,Snatch Game,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
40,Milan,4,5,9,BTM2,Snatch Game,2012-02-27,Competition,Snatch Game,6,36,New York,New York,,
42,DiDa Ritz,4,5,6,SAFE,Snatch Game,2012-02-27,Competition,Snatch Game,8,25,Chicago,Illinois,didaswag,MissDidaRitz
44,Kenya Michaels,4,5,5,ELIM,Snatch Game,2012-02-27,Competition,Snatch Game,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,5,2,WIN,Snatch Game,2012-02-27,Competition,Snatch Game,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,5,1,HIGH,Snatch Game,2012-02-27,Competition,Snatch Game,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,5,4,SAFE,Snatch Game,2012-02-27,Competition,Snatch Game,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,6,7,WIN,Float Your Boat,2012-03-05,Competition,Sewing,1,29,Los Angeles,California,willam,willam
37,Jiggly Caliente,4,6,8,BTM2,Float Your Boat,2012-03-05,Competition,Sewing,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,6,2,HIGH,Float Your Boat,2012-03-05,Competition,Sewing,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
40,Milan,4,6,9,ELIM,Float Your Boat,2012-03-05,Competition,Sewing,6,36,New York,New York,,
42,DiDa Ritz,4,6,6,LOW,Float Your Boat,2012-03-05,Competition,Sewing,8,25,Chicago,Illinois,didaswag,MissDidaRitz
45,Chad Michaels,4,6,2,SAFE,Float Your Boat,2012-03-05,Competition,Sewing,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,6,1,SAFE,Float Your Boat,2012-03-05,Competition,Sewing,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,6,4,HIGH,Float Your Boat,2012-03-05,Competition,Sewing,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,7,7,BTM2,Dragazines,2012-03-12,Competition,Personal Branding,1,29,Los Angeles,California,willam,willam
37,Jiggly Caliente,4,7,8,ELIM,Dragazines,2012-03-12,Competition,Personal Branding,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,7,2,WIN,Dragazines,2012-03-12,Competition,Personal Branding,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
42,DiDa Ritz,4,7,6,SAFE,Dragazines,2012-03-12,Competition,Personal Branding,8,25,Chicago,Illinois,didaswag,MissDidaRitz
45,Chad Michaels,4,7,2,LOW,Dragazines,2012-03-12,Competition,Personal Branding,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,7,1,HIGH,Dragazines,2012-03-12,Competition,Personal Branding,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,7,4,LOW,Dragazines,2012-03-12,Competition,Personal Branding,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
35,Willam,4,8,7,DISQ,Frenemies,2012-03-19,Competition,Singing,1,29,Los Angeles,California,willam,willam
38,Phi Phi O'Hara,4,8,2,BTM2,Frenemies,2012-03-19,Competition,Singing,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
42,DiDa Ritz,4,8,6,SAFE,Frenemies,2012-03-19,Competition,Singing,8,25,Chicago,Illinois,didaswag,MissDidaRitz
45,Chad Michaels,4,8,2,SAFE,Frenemies,2012-03-19,Competition,Singing,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,8,1,BTM2,Frenemies,2012-03-19,Competition,Singing,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,8,4,WIN,Frenemies,2012-03-19,Competition,Singing,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
38,Phi Phi O'Hara,4,9,2,LOW,Frock the Vote!,2012-03-26,Competition,Acting,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
42,DiDa Ritz,4,9,6,ELIM,Frock the Vote!,2012-03-26,Competition,Acting,8,25,Chicago,Illinois,didaswag,MissDidaRitz
45,Chad Michaels,4,9,2,HIGH,Frock the Vote!,2012-03-26,Competition,Acting,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,9,1,WIN,Frock the Vote!,2012-03-26,Competition,Acting,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,9,4,BTM2,Frock the Vote!,2012-03-26,Competition,Acting,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
38,Phi Phi O'Hara,4,10,2,WIN,DILFs: Dads I'd Like To Frock,2012-04-02,Competition,Makeover,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
44,Kenya Michaels,4,10,5,ELIM,DILFs: Dads I'd Like To Frock,2012-04-02,Competition,Makeover,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,10,2,HIGH,DILFs: Dads I'd Like To Frock,2012-04-02,Competition,Makeover,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,10,1,LOW,DILFs: Dads I'd Like To Frock,2012-04-02,Competition,Makeover,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,10,4,BTM2,DILFs: Dads I'd Like To Frock,2012-04-02,Competition,Makeover,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
38,Phi Phi O'Hara,4,11,2,HIGH,The Fabulous Bitch Ball,2012-04-09,Competition,Ball,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
45,Chad Michaels,4,11,2,BTM2,The Fabulous Bitch Ball,2012-04-09,Competition,Ball,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,11,1,WIN,The Fabulous Bitch Ball,2012-04-09,Competition,Ball,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,11,4,ELIM,The Fabulous Bitch Ball,2012-04-09,Competition,Ball,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
38,Phi Phi O'Hara,4,13,2,SAFE,The Final Three,2012-04-23,Finale,,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
45,Chad Michaels,4,13,2,SAFE,The Final Three,2012-04-23,Finale,,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,13,1,SAFE,The Final Three,2012-04-23,Finale,,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
35,Willam,4,14,7,Guest,Reunited,2012-04-30,Reunion,,1,29,Los Angeles,California,willam,willam
36,Lashauwn Beyond,4,14,12,Guest,Reunited,2012-04-30,Reunion,,2,21,Fort Lauderdale,Florida,lashauwnbeyond,LashauwnBeyond
37,Jiggly Caliente,4,14,8,Guest,Reunited,2012-04-30,Reunion,,3,30,Queens,New York,jigglycalienteofficial,JigglyCaliente
38,Phi Phi O'Hara,4,14,2,Runner-up,Reunited,2012-04-30,Reunion,,4,25,Chicago,Illinois,phiphiohara,PhiPhiOhara
39,Madame LaQueer,4,14,10,Guest,Reunited,2012-04-30,Reunion,,5,29,Carolina,Puerto Rico,ditisnietmilan,MadameLaQueer
40,Milan,4,14,9,Guest,Reunited,2012-04-30,Reunion,,6,36,New York,New York,,
41,Alisa Summers,4,14,13,Guest,Reunited,2012-04-30,Reunion,,7,23,Tampa,Florida,,
42,DiDa Ritz,4,14,6,Guest,Reunited,2012-04-30,Reunion,,8,25,Chicago,Illinois,didaswag,MissDidaRitz
43,The Princess,4,14,11,Guest,Reunited,2012-04-30,Reunion,,9,31,Chicago,Illinois,thedragprincess,TheDragPrincess
44,Kenya Michaels,4,14,5,Guest,Reunited,2012-04-30,Reunion,,10,21,Dorado,Puerto Rico,realkenyamichaels,KenyaMichaels
45,Chad Michaels,4,14,2,Runner-up,Reunited,2012-04-30,Reunion,,11,40,San Diego,California,chadmichaelsallstar,ChadMichaels1
46,Sharon Needles,4,14,1,Winner,Reunited,2012-04-30,Reunion,,12,29,Pittsburgh,Pennsylvania,sharonneedlespgh,SHARON_NEEDLES
47,Latrice Royale,4,14,4,Miss C,Reunited,2012-04-30,Reunion,,13,39,South Beach,Florida,latriceroyale,LatriceRoyale
48,Detox,5,1,4,SAFE,RuPaullywood or Bust,2013-01-28,Competition,Sewing,1,27,Los Angeles,California,theonlydetox,TheOnlyDetox
49,Roxxxy Andrews,5,1,2,WIN,RuPaullywood or Bust,2013-01-28,Competition,Sewing,2,28,Orlando,Florida,roxxxyandrews,RoxxxyAndrews
50,Jade Jolie,5,1,8,LOW,RuPaullywood or Bust,2013-01-28,Competition,Sewing,3,25,Gainesville,Florida,missjadejolie,QueenJadeJolie
51,Serena ChaCha,5,1,13,BTM2,RuPaullywood or Bust,2013-01-28,Competition,Sewing,4,21,Tallahassee,Florida,myron.morgan,SerenaChaCha
52,Alyssa Edwards,5,1,6,SAFE,RuPaullywood or Bust,2013-01-28,Competition,Sewing,5,32,Mesquite,Texas,alyssaedwards_1,AlyssaEdwards_1
53,Jinkx Monsoon,5,1,1,SAFE,RuPaullywood or Bust,2013-01-28,Competition,Sewing,6,24,Seattle,Washington,thejinkx,JinkxMonsoon
54,Penny Tration,5,1,14,ELIM,RuPaullywood or Bust,2013-01-28,Competition,Sewing,7,39,Cincinnati,Ohio,misspennytration,PennyTration
55,Vivienne Pinay,5,1,10,SAFE,RuPaullywood or Bust,2013-01-28,Competition,Sewing,8,26,New York,New York,viviennepinay,ViviennePinay
56,Alaska,5,1,2,HIGH,RuPaullywood or Bust,2013-01-28,Competition,Sewing,9,27,Pittsburgh,Pennsylvania,theonlyalaska5000,Alaska5000
57,Honey Mahogany,5,1,10,SAFE,RuPaullywood or Bust,2013-01-28,Competition,Sewing,10,29,San Francisco,California,honeymahogany,honeymahogany
